"","state","county_name","female","college","dem","rep","age","income","white","black","hispanic","total","state_code","total_votes_12","obama_votes_12","romney_votes_12","total_votes_16","clinton_votes_16","trump_votes_16","twoway12","twoway16"
"11","MI","BERRIEN",0.5259987707437,0.366318377381684,0.488506453595575,0.38119237861094,52.4750953142295,63715.8456962025,0.777424279267987,0.147056480320882,0.0378746302331411,8135,"MI",72497,33465,38209,72031,29495,38647,0.466905711973658,0.432846115464765
"12","MI","BRANCH",0.508499271491015,0.317629917435648,0.468674113647402,0.413307430791646,52.4069936862555,58758.6846267919,0.939843975903614,0.0056328313253012,0.0338187751004016,2059,"MI",17147,6913,10035,17663,5061,11786,0.407894736842105,0.300409568469164
"13","MI","CALHOUN",0.525546345139412,0.367746797287114,0.541220798794273,0.343933685003768,51.4230595327807,61843.1971679237,0.812509447360296,0.100712133374498,0.040042868169188,6635,"MI",58327,29267,28333,58902,24157,31494,0.508107638888889,0.434080250130276
"14","MI","CASS",0.504296875,0.3421875,0.463671875,0.41328125,53.405859375,60246.0480961924,0.878697813765182,0.0511012145748988,0.0285968016194332,2560,"MI",22490,9591,12659,22595,7270,14243,0.431056179775281,0.337935201970901
"15","MI","CHARLEVOIX",0.503109882515549,0.356599861782999,0.387698686938493,0.423635107118176,55.0089903181189,67167.8048600884,0.951552932657495,0.00208269370021723,0.012449094858798,1447,"MI",14090,5939,8000,14654,5137,8674,0.426070736781692,0.371949895011223
"16","MI","CHEBOYGAN",0.495827538247566,0.326147426981919,0.521557719054242,0.398470097357441,55.652052887961,53035.4512555391,0.936649776785714,0.00338943452380952,0.00700215773809524,1438,"MI",13311,5831,7286,13672,4302,8683,0.444537622932073,0.331305352329611
"17","MI","CHIPPEWA",0.499070055796652,0.365158090514569,0.456912585244885,0.400495970241786,52.7673697270471,60434.6938642298,0.768362786134729,0.0060104643557881,0.0112847612818836,1613,"MI",15564,7100,8278,15552,5379,9122,0.461698530368058,0.370939935176884
"18","MI","CLARE",0.51261620185923,0.301460823373174,0.661354581673307,0.288180610889774,54.1382059800664,47548.3892297205,0.955490915593705,0.00420507868383405,0.0157425608011445,1506,"MI",13504,6338,6988,13449,4249,8505,0.475611586372505,0.333150384193194
"19","MI","CLINTON",0.516244563827066,0.443847531337938,0.434382194934766,0.433870555129189,50.9122313203685,79703.0762601201,0.918164779220779,0.0134354025974026,0.0369569090909091,3909,"MI",39235,18191,20650,40655,16492,21636,0.468345305218712,0.432543013008812
"20","MI","CRAWFORD",0.501470588235294,0.35,0.535294117647059,0.379411764705882,55.5213549337261,52313.3307453416,0.970577219430486,0.00104405360134003,0.0127877721943049,680,"MI",6814,2994,3744,6844,2110,4354,0.444345503116652,0.326423267326733
"21","MI","DELTA",0.513347022587269,0.348049281314168,0.467659137577002,0.363449691991786,53.5582948125321,56548.2495479204,0.946264606126915,0.00123309628008753,0.00942013129102845,1948,"MI",18050,8330,9534,18594,6436,11121,0.466300940438871,0.366577433502307
