"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1624","ID","Idaho",3040.35279577426,0.0297688916934048,0.00274187199555445,38301.7941245593,10105.0000663996,79,"Shoshone",5120,5148,1384,2277,3297,2699,FALSE,0.295663319803461,0.457596463022508
"1625","ID","Idaho",1816.84516016364,0.283410106770216,0.00576036786317207,43926,3509.00028985739,63,"Lincoln",1748,1663,360,469,1184,1141,FALSE,0.233160621761658,0.291304347826087
"1626","MI","Michigan",1318.98821985227,0.10173358165768,0.0496079019755709,45286.8624800021,56850.0023506135,159,"Van Buren",33274,32837,13258,16290,17890,16141,TRUE,0.425645306279697,0.502297184792328
"1627","IL","Illinois",4018.29677191418,0.0188152464622196,0.365501317539725,28123.7455693129,6352.99979625642,3,"Alexander",2820,3501,1262,1965,1496,1487,TRUE,0.457577955039884,0.569235225955968
"1628","IL","Illinois",5636.94010382963,0.0380816545426838,0.192413704406563,54444.4090801849,141600.999438256,143,"Peoria",79102,78411,38060,40209,35633,36774,TRUE,0.51646696429783,0.522310120416196
"1629","IL","Illinois",2802.36722102759,0.0208791971319633,0.00795398203004066,49515.4407357432,10734.0004279017,53,"Ford",6396,6006,1414,1656,4480,4229,TRUE,0.239904988123515,0.281393372982158
"1630","IL","Illinois",2189.79709112277,0.0182671400341435,0.049654317712205,45196.3444012716,15764.0006691515,33,"Crawford",8739,8609,1992,2858,6277,5585,TRUE,0.240899746039424,0.338505270638399
"1631","NJ","New Jersey",3826.33913737779,0.0622423245833768,0.0517760735109605,58526.7536318306,78915.9998138696,9,"Cape May",49257,47931,18750,21657,28446,25781,FALSE,0.397279430460208,0.456532737467853
"1632","","",4165.94145343909,0.994055546857672,0.000255980170549501,18216.270001991,26501.0004435778,NA,"",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"1633","","",7189.54639880447,0.979220629763099,0.00378712355921596,20249.3185668726,14976.9998759627,NA,"",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"1634","ND","North Dakota",2248.05464274959,0.0135279407001297,0.00320398684454456,36327,2296.00011557341,51,"McIntosh",1446,1530,235,459,1100,1035,FALSE,0.176029962546816,0.307228915662651
"1635","OH","Ohio",1295.09148049886,0.00644347018752679,0.0513484663823334,37666.3870732031,11534.0000422299,115,"Morgan",6477,6129,1736,2814,4431,3179,TRUE,0.28149829738933,0.469547805773402
"1636","OH","Ohio",1798.69858185063,0.00540795399115527,0.00582395022486995,42047.698208442,26627.0005761534,127,"Perry",15101,14983,4138,7033,10228,7627,TRUE,0.288041208408743,0.479740791268759
"1637","OH","Ohio",3666.55115810964,0.0210603024056298,0.0400312241624467,95698.6449596473,123709.999588802,41,"Delaware",105639,98759,40872,37292,57568,60194,TRUE,0.415197074360016,0.382536979668876
"1638","OH","Ohio",981.430988103335,0.00483803163677513,0.0132099265506946,34353.4649978965,18356.0007048547,105,"Meigs",10041,10218,2260,4027,7309,5895,TRUE,0.236179329083499,0.405865752872405
"1639","TN","Tennessee",2604.49355713376,0.0202768300515142,0.355491632569073,32334.2304511954,21067.9999097884,97,"Lauderdale",8087,8689,3056,4011,4884,4616,FALSE,0.384886649874055,0.464935667091689
"1640","TN","Tennessee",857.453268675156,0.0223361865261515,0.283003142919663,55793.1525785541,29535.0019454211,47,"Fayette",19394,19574,5874,6688,13055,12689,FALSE,0.310317502245232,0.345151468235537
"1641","TN","Tennessee",1019.26870749052,0.0208610868708776,0.109213933655788,36614.3241357549,22269.0009473562,17,"Carroll",10384,10851,2327,3475,7756,7225,FALSE,0.23078448874343,0.324766355140187
"1642","KY","Kentucky",2026.11345560903,0.00769439394346334,0.0100243833985932,44605.9348685993,28585.0002249181,89,"Greenup",16277,15168,4146,6027,11546,8855,FALSE,0.264211062962019,0.404985888993415
"1643","KY","Kentucky",611.257075110192,0.00605652720808607,0.00838124920068466,34457.5721277377,12809.9999283999,119,"Knott",5763,5693,1245,1420,4357,4130,FALSE,0.222242056408426,0.255855855855856
"1644","KY","Kentucky",1148.13527497877,0.00688385896274204,0.00347601035128851,28972.3040485278,11333.0000197589,65,"Estill",5545,5184,1108,1356,4236,3749,FALSE,0.207335329341317,0.26562193927522
"1645","KY","Kentucky",1025.45855634209,0.00641302828641297,0.00439544627171169,22519.873396743,10658.0008209944,25,"Breathitt",5738,5008,1537,1562,3991,3318,FALSE,0.278039073806078,0.320081967213115
"1646","KY","Kentucky",2318.02061661123,0.0906022828210522,0.0828064908484578,60517.8696344536,31631.0002394915,211,"Shelby",20580,18663,6276,6634,13196,11790,FALSE,0.322308956450288,0.360073816760747
"1647","KY","Kentucky",720.170126124341,0.0122044793456396,0.0893367688953957,44275.263771445,11110.9999645054,221,"Trigg",6751,6742,1587,2115,4931,4520,FALSE,0.243479594967782,0.318764129615674
"1648","CA","California",9981.74112529535,0.508987977948631,0.0747343091221341,49569.3812152431,110433.996093884,31,"Kings",34310,31418,13617,12979,18093,17671,FALSE,0.429422894985809,0.423458401305057
"1649","CA","California",6103.47609958216,0.536850815355592,0.0361449144007085,47409.9577039075,108016.00365147,39,"Madera",43507,39866,17029,16018,23357,22852,FALSE,0.421656019412668,0.412091587342423
"1650","TX","Texas",6445.43922537931,0.158866179574312,0.214170848989537,43893.4932259058,46982.9979396909,1,"Anderson",16977,16212,3369,3813,13201,12262,FALSE,0.203319251659626,0.237200622083981
"1651","TX","Texas",2616.82826294723,0.884739399828969,0.00746902643127943,35522.3021558309,8707.00042968988,131,"Duval",4168,4344,2783,3331,1316,980,FALSE,0.678946084410832,0.772674553467873
"1652","TX","Texas",7738.41131707196,0.0550564036422764,0.0799082492249768,40938.7776715733,4046.00014853477,119,"Delta",2281,2018,400,454,1836,1524,FALSE,0.178890876565295,0.229524772497472
"1653","TX","Texas",1700.00935653261,0.248428818317003,0.0253234823446122,50045.3219963031,4039.0003747642,483,"Wheeler",2306,2128,194,232,2087,1878,FALSE,0.0850504164839982,0.109952606635071
"1654","TX","Texas",685.292947196757,0.369165487576914,0.0113154172560113,38438,588.000034421682,311,"McMullen",499,503,40,67,454,431,FALSE,0.0809716599190283,0.134538152610442
"1655","TX","Texas",3280.61732016281,0.789803594886283,0.00433419801191404,43508.5335471864,29080.0006101131,249,"Jim Wells",12379,11166,6694,6492,5420,4598,FALSE,0.552583787353475,0.585392245266005
"1656","TX","Texas",3586.9417620138,0.534012799000094,0.0663629751963525,38361.7727174149,10410.9997981489,115,"Dawson",3563,3642,835,1019,2636,2591,FALSE,0.240564678766926,0.282271468144044
"1657","TX","Texas",3240.68945931483,0.464056828853283,0.0262850119981605,44916.4342172957,15710.000485599,57,"Calhoun",6965,6648,2118,2410,4638,4144,FALSE,0.313499111900533,0.367714372902045
"1658","SC","South Carolina",3924.39127806549,0.0173777349429393,0.645785611541118,28063.0005202914,14957.0000572652,61,"Lee",8156,8907,5199,5977,2803,2832,FALSE,0.649712571857036,0.678510614144625
